^SAMPLE = GSM913972
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL
1416571_at	5.5	A
1416572_at	2788.1	P
1416573_at	241.7	P
1416574_at	949.4	P
1416575_at	275.4	P
1416576_at	117.1	A
1416577_a_at	5061.7	P
1416578_at	540.2	P
1416579_a_at	5.4	A
1416580_a_at	1592.3	P
1416581_at	697.9	P
1416582_a_at	810.9	P
1416583_at	648.3	P
1416584_at	127	P
1416585_at	515.9	P
1416586_at	87.3	A
1416587_a_at	269.2	P
1416588_at	120	A
1416589_at	5.3	A
1416590_a_at	367.8	P
1416591_at	551.3	P
1416592_at	1103.8	P
1416593_at	1180.6	P
1416594_at	12.1	A
1416595_at	1328.2	P
1416596_at	32.8	A
1416597_at	93.5	A
1416598_at	64.3	A
1416599_at	50.7	A
1416600_a_at	1861.1	P
1416601_a_at	1040.1	P
1416602_a_at	73.9	P
1416603_at	7223.9	P
1416604_at	7624.6	P
1416605_at	2488	P
1416606_s_at	4539.4	P
1416607_at	613.8	P
1416608_a_at	946.5	P
1416609_at	910.8	P
1416610_a_at	341.7	P
1416611_at	1148.9	P
1416612_at	102.4	A
1416613_at	25.5	P
1416614_at	1434.2	P
1416615_at	739.8	P
1416616_s_at	433.8	P
